Linkage;Referee;Similarity Threshold;Test Classes;Statements;Unique Duplicates;Total Duplicates
Single linkage;Biggest cluster;0.1;2;1936;197;1475
Single linkage;Biggest cluster;0.2;4;1757;197;1295
Single linkage;Biggest cluster;0.3;14;1501;181;1039
Single linkage;Biggest cluster;0.4;18;1269;176;807
Single linkage;Biggest cluster;0.5;34;1288;173;824
Single linkage;Biggest cluster;0.6;46;1371;175;909
Single linkage;Biggest cluster;0.7;59;1497;179;1035
Single linkage;Biggest cluster;0.8;78;1747;189;1280
Single linkage;Biggest cluster;0.9;105;2158;199;1696
Single linkage;Biggest cluster;1.0;106;2169;200;1709
Single linkage;Smallest cluster;0.1;2;1936;197;1475
Single linkage;Smallest cluster;0.2;4;1757;197;1295
Single linkage;Smallest cluster;0.3;14;1501;181;1039
Single linkage;Smallest cluster;0.4;18;1269;176;807
Single linkage;Smallest cluster;0.5;34;1288;173;824
Single linkage;Smallest cluster;0.6;46;1371;175;909
Single linkage;Smallest cluster;0.7;59;1497;179;1035
Single linkage;Smallest cluster;0.8;78;1747;189;1280
Single linkage;Smallest cluster;0.9;105;2158;199;1696
Single linkage;Smallest cluster;1.0;106;2169;200;1709
Complete linkage;Biggest cluster;0.1;3;1753;197;1292
Complete linkage;Biggest cluster;0.2;11;1456;185;994
Complete linkage;Biggest cluster;0.3;18;1285;176;823
Complete linkage;Biggest cluster;0.4;23;1234;176;770
Complete linkage;Biggest cluster;0.5;37;1296;177;834
Complete linkage;Biggest cluster;0.6;55;1447;176;985
Complete linkage;Biggest cluster;0.7;62;1529;179;1067
Complete linkage;Biggest cluster;0.8;80;1775;188;1308
Complete linkage;Biggest cluster;0.9;105;2158;199;1696
Complete linkage;Biggest cluster;1.0;106;2169;200;1709
Complete linkage;Smallest cluster;0.1;3;1753;197;1292
Complete linkage;Smallest cluster;0.2;11;1456;185;994
Complete linkage;Smallest cluster;0.3;18;1269;176;807
Complete linkage;Smallest cluster;0.4;23;1234;176;770
Complete linkage;Smallest cluster;0.5;37;1296;177;834
Complete linkage;Smallest cluster;0.6;55;1447;176;985
Complete linkage;Smallest cluster;0.7;62;1529;179;1067
Complete linkage;Smallest cluster;0.8;80;1775;188;1308
Complete linkage;Smallest cluster;0.9;105;2158;199;1696
Complete linkage;Smallest cluster;1.0;106;2169;200;1709
Average linkage;Biggest cluster;0.1;2;1936;197;1475
Average linkage;Biggest cluster;0.2;9;1514;184;1052
Average linkage;Biggest cluster;0.3;15;1383;181;921
Average linkage;Biggest cluster;0.4;19;1262;176;800
Average linkage;Biggest cluster;0.5;35;1291;173;827
Average linkage;Biggest cluster;0.6;50;1395;175;933
Average linkage;Biggest cluster;0.7;60;1511;179;1049
Average linkage;Biggest cluster;0.8;78;1747;189;1280
Average linkage;Biggest cluster;0.9;105;2158;199;1696
Average linkage;Biggest cluster;1.0;106;2169;200;1709
Average linkage;Smallest cluster;0.1;2;1936;197;1475
Average linkage;Smallest cluster;0.2;9;1514;184;1052
Average linkage;Smallest cluster;0.3;15;1383;181;921
Average linkage;Smallest cluster;0.4;19;1262;176;800
Average linkage;Smallest cluster;0.5;35;1291;173;827
Average linkage;Smallest cluster;0.6;50;1395;175;933
Average linkage;Smallest cluster;0.7;60;1511;179;1049
Average linkage;Smallest cluster;0.8;78;1747;189;1280
Average linkage;Smallest cluster;0.9;105;2158;199;1696
Average linkage;Smallest cluster;1.0;106;2169;200;1709
