Project;Original classes;Refactored classes;Original classes attributes;Refactored classes attributes;Original classes setup methods;Refactored classes setup methods;Original classes test methods;Refactored classes test methods;Original classes statements;Refactored classes statements;Original unique duplicates;Refactored unique duplicates;Original total duplicates;Refactored total duplicates
1;4;6;8;1;4;3;24;24;54;50;5;4;14;9
2;4;6;6;7;3;4;13;13;37;36;7;5;8;5
3;4;3;10;4;4;3;8;8;40;31;7;3;13;5
4;4;9;5;9;4;4;29;29;91;89;13;14;26;23
5;4;11;4;7;4;6;25;25;45;47;8;9;12;12
6;1;1;7;7;1;1;14;14;58;58;5;5;19;19
7;8;17;7;19;5;9;39;39;111;104;20;14;32;24
8;4;5;10;12;4;3;19;19;69;67;17;15;39;35
9;4;9;5;5;3;3;14;14;38;38;8;6;10;9
10;1;4;0;2;0;1;5;5;16;14;2;1;5;2
11;4;8;10;0;4;3;16;16;38;42;3;4;5;9
12;1;1;4;3;1;1;6;6;18;18;3;3;8;8
13;4;10;7;1;0;1;11;11;25;24;3;3;5;3
14;1;13;0;6;0;4;23;23;90;66;11;11;50;24
15;4;4;0;0;0;0;4;4;12;12;0;0;0;0
16;4;4;11;8;4;4;10;10;24;22;4;3;8;6
17;4;22;4;8;4;6;34;34;116;127;25;29;51;59
18;4;3;26;18;4;3;21;21;64;78;9;11;21;34
19;4;5;14;11;4;4;30;30;51;52;2;2;2;2
20;1;3;1;2;1;2;7;7;15;16;4;5;5;5
21;4;3;33;20;4;3;35;35;129;198;25;26;44;113
22;4;9;3;3;3;3;12;12;20;25;0;1;0;2
23;1;6;0;10;0;5;14;14;43;25;7;4;27;6
24;5;25;0;58;1;11;90;90;869;403;57;48;757;281
25;5;21;15;0;0;5;27;27;31;25;6;5;11;5
26;3;6;3;1;3;3;13;13;32;33;2;3;5;5
27;7;47;2;21;2;10;65;65;214;191;46;46;113;83
28;4;11;10;10;4;4;21;21;74;88;7;12;11;21
29;4;17;10;7;0;5;26;26;53;38;12;7;29;11
30;4;7;10;3;4;5;32;32;81;80;11;9;27;26
31;4;8;8;11;4;6;37;37;80;78;16;17;40;37
32;1;14;0;5;0;5;21;21;66;54;12;9;30;16
33;4;21;14;0;0;0;21;21;16;16;3;3;3;3
34;5;20;13;2;0;4;24;24;48;42;10;7;16;9
35;1;2;1;0;1;0;2;2;6;7;1;2;1;2
36;4;11;10;3;0;4;15;15;50;37;13;2;19;4
37;1;1;6;6;1;1;13;13;34;34;6;6;10;10
38;4;14;4;0;0;0;14;14;12;12;2;2;2;2
39;5;19;17;2;0;4;25;25;73;49;18;7;35;10
40;4;10;8;9;4;4;22;22;72;84;17;15;23;34
41;5;6;16;12;5;5;24;24;97;100;22;22;39;40
42;4;14;4;3;0;3;17;17;40;36;3;2;9;3
43;2;4;4;7;2;3;29;29;114;95;26;20;57;36
44;4;7;9;17;4;7;24;24;106;96;25;22;51;41
45;4;4;20;21;4;4;25;25;101;96;13;12;19;14
46;4;17;14;4;0;3;21;21;63;57;6;5;18;10
47;4;5;6;2;2;2;12;12;27;29;7;7;12;14
